id,item_id,item_earnings,total_items_sold,date
853,18704,199,1,03/12/2019
854,18834,149,1,03/12/2019
855,18848,99,1,03/12/2019
856,18882,79,1,03/12/2019
857,18884,158,2,03/12/2019
858,18923,399,1,03/12/2019
859,18953,56,2,03/12/2019
860,18958,499,1,03/12/2019
861,18975,149,1,03/12/2019
862,19037,349,1,03/12/2019
863,19041,498,2,03/12/2019
864,19043,199,1,03/12/2019
865,19046,299,1,03/12/2019
866,19050,1098,2,03/12/2019
867,19051,599,1,03/12/2019
868,19093,299,1,03/12/2019
869,19116,2394,6,03/12/2019
870,19118,1398,2,03/12/2019
871,19126,198,1,03/12/2019
872,19134,1098,2,03/12/2019
873,19161,399,1,03/12/2019
874,19162,749,1,03/12/2019
875,19216,99,1,03/12/2019
876,19258,299,1,03/12/2019
877,19288,500,1,03/12/2019
878,19295,999,1,03/12/2019
879,19307,799,1,03/12/2019
880,19334,350,1,03/12/2019
881,19339,349,1,03/12/2019
882,19370,222,1,03/12/2019
883,19405,399,1,03/12/2019
884,19434,50,1,03/12/2019
885,19436,2131,3,03/12/2019
886,19438,5998,2,03/12/2019
887,19439,3999,1,03/12/2019
888,19597,338,2,03/12/2019
889,19602,338,2,03/12/2019
890,19647,198,1,03/12/2019
891,19686,399,1,03/12/2019
892,19692,169,1,03/12/2019
893,19752,221.2,3,03/12/2019
894,19771,169,1,03/12/2019
895,19794,447,3,03/12/2019
896,19806,399,1,03/12/2019
897,19816,799,1,03/12/2019
898,19817,1497,3,03/12/2019
899,19836,99,1,03/12/2019
900,19893,449,1,03/12/2019
901,19894,499,1,03/12/2019
902,19986,1999,1,03/12/2019
903,19993,98,1,03/12/2019
904,20055,798,3,03/12/2019
905,20069,98,1,03/12/2019
906,20195,720,1,03/12/2019
907,20225,4311,11,03/12/2019
908,20226,799,1,03/12/2019
909,20231,99,1,03/12/2019
910,20259,298,2,03/12/2019
911,20269,169,1,03/12/2019
912,20311,58,1,03/12/2019
913,20337,1099,1,03/12/2019
914,20346,1099,1,03/12/2019
915,20347,1849,1,03/12/2019
916,20405,2399,1,03/12/2019
917,20434,1899,1,03/12/2019
918,20465,1399,1,03/12/2019
919,20521,1999,1,03/12/2019
920,20540,1499,1,03/12/2019
921,20544,1999,1,03/12/2019
922,20608,5997,3,03/12/2019
923,20610,1099,1,03/12/2019
924,20611,4498,2,03/12/2019
925,20613,2198,3,03/12/2019
926,20614,1099,1,03/12/2019
927,20641,3799,1,03/12/2019
928,20654,1899,1,03/12/2019
929,20739,499,1,03/12/2019
930,20773,1099,1,03/12/2019
931,20916,1719,1,03/12/2019
932,20920,1719,1,03/12/2019
933,20949,73,31,03/12/2019
934,20957,1198,1,03/12/2019
935,21260,1039,1,03/12/2019
936,21358,599,1,03/12/2019
937,21361,7596,4,03/12/2019
938,21362,5385,5,03/12/2019
939,21363,12156,4,03/12/2019
940,21364,7616,22,03/12/2019
941,21365,9890,12,03/12/2019
942,21366,12152,9,03/12/2019
943,21367,5992,8,03/12/2019
944,21368,1499,1,03/12/2019
945,21377,135.2,1,03/12/2019
946,21386,472.6,3,03/12/2019
947,21387,1699,1,03/12/2019
948,21388,999,1,03/12/2019
949,21400,198,2,03/12/2019
950,21414,264.58,1,03/12/2019
951,21420,149,1,03/12/2019
952,21427,338,2,03/12/2019
953,21440,298,2,03/12/2019
954,21447,149,1,03/12/2019
955,21485,658,3,03/12/2019
956,21486,210,1,03/12/2019
957,21591,399,1,03/12/2019
958,21605,99,1,03/12/2019
959,21669,149,1,03/12/2019
960,21674,399,1,03/12/2019
961,21677,49,1,03/12/2019
962,21679,149,1,03/12/2019
963,21684,149,1,03/12/2019
964,21704,169,1,03/12/2019
965,21726,99,1,03/12/2019
966,21761,772.03,1,03/12/2019
967,21762,1499,1,03/12/2019
968,21793,999,1,03/12/2019
969,21842,149,1,03/12/2019
970,21881,897,3,03/12/2019
971,21893,28,1,03/12/2019
972,21902,99,1,03/12/2019
973,21922,198,2,03/12/2019
974,21962,1249,1,03/12/2019
975,21976,1499,1,03/12/2019
976,22058,169,1,03/12/2019
977,22073,99,1,03/12/2019
978,22076,28,1,03/12/2019
979,22087,357,3,03/12/2019
980,22088,714,9,03/12/2019
981,22091,358,2,03/12/2019
982,22092,179,1,03/12/2019
983,22104,249,2,03/12/2019
984,22140,217.5,1,03/12/2019
985,22162,1995,6,03/12/2019
